protid	pdb_origin	pdb_confidence	pdb_chains
CF-CAD53385.1_127_relaxed_ebv	Other	87.19810955961331	['A']
CF-AST09350.1_11992_relaxed	Other	83.77121286575832	['A']
EF-AAR31716.1_100_relaxed	Other	86.946804336603	['A']
CF-AAR07373.1_12029_relaxed_yaba	Other	88.19716805942433	['A']
CF-AEV80459.1_99_relaxed_GMCMV	Other	86.77176816608996	['A']
CF-AAO89306.1_12013_relaxed	Other	51.389603318641434	['A']
EF-AAD46503.1_158_relaxed	Other	83.46204450877511	['A']
CF-AAO89469.1_12013_relaxed	Other	86.33520560532966	['A']
EF-AAR31710.1_100_relaxed	Other	88.53953035806953	['A']
EF-AAC55276.1_12002_relaxed	Other	77.98236825790453	['A']
EF-AAO89304.1_12013_relaxed	Other	95.14876824583868	['A']
CF-QHD43415.1.1.21_10195_relaxed	Other	93.2518337354683	['A']
CF-AAT98578.1.1.21_10182_relaxed	Other	92.5789975495656	['A']
CF-CAA48946.1_12014_relaxed_variola	Other	87.35989609104404	['A']
CF-AAL40628.1_12009_relaxed	Other	86.86200517768886	['A']
CF-AAO89313.1_12013_relaxed_vaccinia	Other	91.03099262240104	['A']
EF-AAR31656.1_100_relaxed	Other	81.24722065063649	['A']
CF-AAL40480.1_12009_relaxed_pt2	Other	86.23467680608366	['A']
EF-CAD53396.1_127_relaxed	Other	87.84176991150443	['A']
EF-CAA48953.1_12014_relaxed	Other	95.00190766108575	['A']
EF-AAM13481.1_12007_relaxed	Other	95.42658962506421	['A']
CF-AAL40480.1_12009_relaxed_pt1	Other	59.15253977272727	['A']
CF-AAO89441.1_12013_relaxed	Other	82.35009318837363	['A']
CF-AAO42519.1.1.4_7222_relaxed	Other	89.77115935114504	['A']
CF-AAO89306.1_12013_relaxed_pt2	Other	44.483355576739754	['A']
EF-AAL73713.1_12006_relaxed	Other	95.62997635933806	['A']
CF-QHD43415.1.1.36_10195_relaxed	Other	92.2442371422423	['A']
CF-AXN74982.1_12005_relaxed	Other	87.72018457169901	['A']
CF-AAO89306.1_12013_relaxed_pt1	Other	59.661041548093344	['A']
CF-AAT98578.1.15_10182_relaxed	Other	90.71549584133076	['A']
EF-AAC55182.1_12002_relaxed	Other	80.14179672313246	['A']
CF-AAM13483.1_12007_relaxed	Other	70.14611997940268	['A']
CF-AAM13483.1_12007_relaxed_pt1	Other	59.40602156640182	['A']
CF-CAD53438.2_127_relaxed	Other	87.90163780232905	['A']
EF-CAD53468.1_127_relaxed	Other	77.82073021181716	['A']
CF-AAL40480.1_12009_relaxed	Other	72.99102692200942	['A']
CF-AAR07485.1_12029_relaxed	Other	74.81268484187568	['A']
CF-AAR07371.1_12029_relaxed_yaba	Other	90.422338028169	['A']
CF-AAM13483.1_12007_relaxed_pt2	Other	79.10449528301886	['A']
