protid	viro3d_filename	pdb_origin	pdb_confidence	pdb_chains
AF-F7GAH8-F1-model_v4_mmul_pydc	AF-F7GAH8-F1-model_v4_mmul_pydc	AlphaFold	88.19441176	['A']
AF-P15260-F1-model_v4_hsap	AF-P15260-F1-model_v4_hsap	AlphaFold	66.62910756	['A']
CF-CAD53385.1_127_relaxed_ebv	CF-CAD53385.1_127_relaxed	Other	87.19810956	['A']
AF-P51675-F1-model_v4	AF-P51675-F1-model_v4	AlphaFold	84.62016235	['A']
AF-P10415-F1-model_v4_hsap	AF-P10415-F1-model_v4_hsap	AlphaFold	75.53412716	['A']
CF-AST09350.1_11992_relaxed	CF-AST09350.1_11992_relaxed	Other	83.77121287	['A']
AF-H2R6X1-F1-model_v4_ptro	AF-H2R6X1-F1-model_v4_ptro	AlphaFold	62.4310055	['A']
EF-AAR31716.1_100_relaxed	EF-AAR31716.1_100_relaxed	Other	86.94680434	['A']
CF-AAR07373.1_12029_relaxed_yaba	CF-AAR07373.1_12029_relaxed	Other	88.19716806	['A']
AF-H2Q105-il10Ptro	AF-H2Q105-il10Ptro	AlphaFold	86.02725627	['A']
AF-F7EFD7-eif2sMmul	AF-F7EFD7-eif2sMmul	AlphaFold	72.97170819	['A']
AF-A0A6D2WYC5-il18bpPtro	AF-A0A6D2WYC5-il18bpPtro	AlphaFold	76.8827849	['A']
CF-AEV80459.1_99_relaxed_GMCMV	CF-AEV80459.1_99_relaxed	Other	86.77176817	['A']
CF-AAO89306.1_12013_relaxed	CF-AAO89306.1_12013_relaxed	Other	51.38960332	['A']
AF-P10415-F1-model_v4_hsap_bcl2	AF-P10415-F1-model_v4_hsap_bcl2	AlphaFold	75.53412716	['A']
EF-AAD46503.1_158_relaxed	EF-AAD46503.1_158_relaxed	Other	83.46204451	['A']
AF-P32246-F1-model_v4	AF-P32246-F1-model_v4	AlphaFold	83.11435678	['A']
AF-P08607-c4bpMmus	AF-P08607-c4bpMmus	AlphaFold	82.43698087	['A']
AF-H2Q8H4-eif2sPtro	AF-H2Q8H4-eif2sPtro	AlphaFold	71.37099644	['A']
CF-AAO89469.1_12013_relaxed	CF-AAO89469.1_12013_relaxed	Other	86.33520561	['A']
AF-Q61735-F1-model_v4_mmus	AF-Q61735-F1-model_v4_mmus	AlphaFold	86.6838561	['A']
EF-AAC55276.1_12002_relaxed	EF-AAC55276.1_12002_relaxed	Other	77.98236826	['A']
EF-AAO89304.1_12013_relaxed	EF-AAO89304.1_12013_relaxed	Other	95.14876825	['A']
AF-Q6ZWX6-eif2sMmus	AF-Q6ZWX6-eif2sMmus	AlphaFold	79.96781028	['A']
AF-F7F5Z8-F1-model_v4_mmul	AF-F7F5Z8-F1-model_v4_mmul	AlphaFold	86.63220317	['A']
AF-F6RNZ2-c4bpMmul	AF-F6RNZ2-c4bpMmul	AlphaFold	79.25323485	['A']
AF-F7HB25-F1-model_v4_mmul	AF-F7HB25-F1-model_v4_mmul	AlphaFold	62.40917279	['A']
AF-Q9HC24-F1-model_v4_hsap	AF-Q9HC24-F1-model_v4_hsap	AlphaFold	92.4896184	['A']
AF-A0A2I3SRF9-F1-model_v4_ptro	AF-A0A2I3SRF9-F1-model_v4_ptro	AlphaFold	85.09586178	['A']
CF-QHD43415.1.1.21_10195_relaxed	CF-QHD43415.1.1.21_10195_relaxed	Other	93.25183374	['A']
AF-B2D0A1-il18bpMmul	AF-B2D0A1-il18bpMmul	AlphaFold	74.08666878	['A']
CF-AAT98578.1.1.21_10182_relaxed	CF-AAT98578.1.1.21_10182_relaxed	Other	92.57899755	['A']
AF-P51683-F1-model_v4	AF-P51683-F1-model_v4	AlphaFold	81.50313225	['A']
AF-Q54AA2-F1-model_v4_mmus_pycard	AF-Q54AA2-F1-model_v4_mmus_pycard	Other	65.53089431	['A']
AF-K6ZBP7-F1-model_v4_ptro	AF-K6ZBP7-F1-model_v4_ptro	AlphaFold	90.90519644	['A']
AF-Q9Z0M9-il18bpMmus	AF-Q9Z0M9-il18bpMmus	AlphaFold	77.81014667	['A']
CF-CAA48946.1_12014_relaxed_variola	CF-CAA48946.1_12014_relaxed	Other	87.35989609	['A']
AF-A0A6D2WDS4-F1-model_v4	AF-A0A6D2WDS4-F1-model_v4	AlphaFold	76.11169526	['A']
AF-H2QB01-F1-model_v4_ptro_pydc	AF-H2QB01-F1-model_v4_ptro_pydc	AlphaFold	85.3940113	['A']
CF-AAL40628.1_12009_relaxed	CF-AAL40628.1_12009_relaxed	Other	86.86200518	['A']
AF-A0A5F7ZZ15-F1-model_v4_mmul_bcl2	AF-A0A5F7ZZ15-F1-model_v4_mmul_bcl2	AlphaFold	72.56106166	['A']
CF-AAO89313.1_12013_relaxed_vaccinia	CF-AAO89313.1_12013_relaxed	Other	91.03099262	['A']
EF-AAR31656.1_100_relaxed	EF-AAR31656.1_100_relaxed	Other	81.24722065	['A']
AF-P10417-F1-model_v4._mmus	AF-P10417-F1-model_v4._mmus	AlphaFold	74.59212024	['A']
AF-P22301-il10Hsap	AF-P22301-il10Hsap	AlphaFold	89.06390516	['A']
AF-Q8WXC3-F1-model_v4_hsap_pydc	AF-Q8WXC3-F1-model_v4_hsap_pydc	AlphaFold	89.10765537	['A']
CF-AAL40480.1_12009_relaxed_pt2	CF-AAL40480.1_12009_relaxed	Other	86.23467681	['A']
EF-CAD53396.1_127_relaxed	EF-CAD53396.1_127_relaxed	Other	87.84176991	['A']
